region,country,langage,translation,filing_fee,official_fee,translation_fee,service,pages_threshold,excess_page_fee,special_rules
Albania,AL,Albanian,Claims Only,570,140,0.25,ep_validation,,,
Austria,AT,German,Full Translation,220,200,0.29,ep_validation,15,135,
Belgium,BE,-,-,520,0,,ep_validation,,,
Bulgaria,BG,Bulgarian,Full Translation,570,100,0.27,ep_validation,10,6,
Croatia,HR,Croatian,Claims Only,640,100,0.22,ep_validation,,,
Cyprus,CY,Greek,Full Translation,720,130,0.27,ep_validation,,,
Czech Republic,CZ,Czech,Full Translation,520,120,0.22,ep_validation,,,
Denmark,DK,Danish,Claims Only,520,330,0.36,ep_validation,,,
Estonia,EE,Estonian,Full Translation,500,75,0.26,ep_validation,,,
Finland,FI,Finnish,Claims Only,600,470,0.4,ep_validation,,,
France,FR,-,-,220,0,,ep_validation,,,
Germany,DE,-,-,220,0,,ep_validation,,,
Greece,GR,Greek,Full Translation,700,430,0.27,ep_validation,,,
Hungary,HU,Hungarian,Claims Only,470,115,0.28,ep_validation,5,12,
Iceland,IS,Icelandic,Claims Only,670,335,0.42,ep_validation,,,
Ireland,IE,-,-,220,0,,ep_validation,,,
Italy,IT,Italian,Full Translation,540,50,0.27,ep_validation,,,
Latvia,LV,Latvian,Claims Only,490,70,0.34,ep_validation,,,
Lithuania,LT,Lithuanian,Claims Only,690,80,0.28,ep_validation,,,
Luxembourg,LU,-,-,450,0,,ep_validation,,,
Malta,MT,-,-,800,0,,ep_validation,,,
Monaco,MC,-,-,270,0,,ep_validation,,,
Montenegro,ME,Montenegrin,Claims Only,610,40,0.27,ep_validation,,,
Netherlands,NL,Dutch,Claims Only,530,55,0.35,ep_validation,,,
North Macedonia,MK,Macedonian,Claims Only,740,80,0.22,ep_validation,,,
Norway,NO,Norwegian,Claims Only,600,645,0.34,ep_validation,,,
Poland,PL,Polish,Full Translation,690,55,0.27,ep_validation,10,3,
Portugal,PT,Portuguese,Full Translation,600,95,0.22,ep_validation,,,
Romania,RO,Romanian,Full Translation,570,130,0.26,ep_validation,20,5,
San Marino,SM,Italian,Full Translation,540,130,,ep_validation,20,10,
Serbia,RS,Serbian,Claims Only,720,185,0.31,ep_validation,,,
Slovak Republic,SK,Slovak,Full Translation,610,100,0.25,ep_validation,,,
Slovenia,SI,Slovene,Claims Only,390,130,0.26,ep_validation,,,
Spain,ES,Spanish,Full Translation,690,310,0.22,ep_validation,22,11.19,
Sweden,SE,Swedish,Claims Only,530,310,0.33,ep_validation,,,
Switzerland & Liechtenstein,CH,-,-,300,0,,ep_validation,,,
Turkey,TR,Turkish,Full Translation,690,575,0.25,ep_validation,,,
United Kingdom,GB,-,,220,0,,ep_validation,,,
Bosnia and Herzegovina,BA,,,610,450,,ep_validation,,,
Cambodia,KH,,,0,0,,ep_validation,,,
Georgia,GE,,,0,210,,ep_validation,,,
Laos,LA,,,0,0,,ep_validation,,,
Moldova,MD,,,610,0,,ep_validation,5,5,
Morocco,MA,,,0,130,,ep_validation,,,
Tunisia,TN,,,0,270,,ep_validation,,,
